 Geometry
     69     30
 Curves
       1       1
      25
  0.1021452E+04  0.7580475E-03  0.6123234E-13
  0.1019311E+04  0.7580475E-03 -0.6540313E+02
  0.1012896E+04  0.7580475E-03 -0.1305262E+03
  0.1002237E+04  0.7580475E-03 -0.1950903E+03
  0.9873774E+03  0.7580475E-03 -0.2588191E+03
  0.9683817E+03  0.7580475E-03 -0.3214395E+03
  0.9453311E+03  0.7580475E-03 -0.3826834E+03
  0.9183243E+03  0.7580475E-03 -0.4422887E+03
  0.8874770E+03  0.7580475E-03 -0.5000000E+03
  0.8529212E+03  0.7580475E-03 -0.5555702E+03
  0.8148049E+03  0.7580475E-03 -0.6087614E+03
  0.7732914E+03  0.7580475E-03 -0.6593458E+03
  0.7285584E+03  0.7580475E-03 -0.7071068E+03
  0.6807974E+03  0.7580475E-03 -0.7518398E+03
  0.6302130E+03  0.7580475E-03 -0.7933533E+03
  0.5770218E+03  0.7580475E-03 -0.8314696E+03
  0.5214516E+03  0.7580475E-03 -0.8660254E+03
  0.4637403E+03  0.7580475E-03 -0.8968727E+03
  0.4041350E+03  0.7580475E-03 -0.9238795E+03
  0.3428910E+03  0.7580475E-03 -0.9469301E+03
  0.2802707E+03  0.7580475E-03 -0.9659258E+03
  0.2165419E+03  0.7580475E-03 -0.9807853E+03
  0.1519778E+03  0.7580475E-03 -0.9914449E+03
  0.8685476E+02  0.7580475E-03 -0.9978589E+03
  0.2145160E+02  0.7580475E-03 -0.1000000E+04
       2       1
      25
  0.2145160E+02  0.7580475E-03 -0.1000000E+04
 -0.4395154E+02  0.7580475E-03 -0.9978589E+03
 -0.1090746E+03  0.7580475E-03 -0.9914449E+03
 -0.1736387E+03  0.7580475E-03 -0.9807853E+03
 -0.2373675E+03  0.7580475E-03 -0.9659258E+03
 -0.2999879E+03  0.7580475E-03 -0.9469301E+03
 -0.3612318E+03  0.7580475E-03 -0.9238795E+03
 -0.4208371E+03  0.7580475E-03 -0.8968727E+03
 -0.4785484E+03  0.7580475E-03 -0.8660254E+03
 -0.5341186E+03  0.7580475E-03 -0.8314696E+03
 -0.5873098E+03  0.7580475E-03 -0.7933533E+03
 -0.6378942E+03  0.7580475E-03 -0.7518398E+03
 -0.6856552E+03  0.7580475E-03 -0.7071068E+03
